isv	pos	synonyms
a		ale, i, no, pa
abdikacija		odkazanje, odstupjenje
abeceda		alfabet
abo		ili, či
abonement		podpiska
abonent		podpisnik, prědoplatnik
abrikos		marulja
absencija		odsutnost, odsutstvo
absolutno		popolno
absolutny		popolny
absorbcija		vpivanje
absorbovati		vpivati
abstrakt		prěgled, rezjume
absurd		bezsmyslica
aby		da by, že by
adaptacija		prisposobjenje
adept		poslědovatelj, privrženec, strannik
administracija		uprava, upravjenje
administrovati		upravjati
adres		adresa
adresa		adres
adriatičsko morje		jadransko morje
aerodrom		aeroport, letišče
aeronavtika		vozduhoplavstvo
aeroplan		lětalo, samolet
aeroport		aerodrom, letišče
afektivny		čuvstveny
afiks		prirastka
agencija		agentura
agent		pověrjennik
agentura		agencija
agresor		napastnik
agrikultura		zemjedělstvo
ahoj		pozdrav
ajsberg		leděna gora
akcent		udarjenje
akceptacija		prijetje
akceptovati		prijmati
akcija		dějanje
akne		pryšč
ako		ako by, ako li, jestli, kak, kako, kogda, kogdy
ako by		ako, kako by
ako li		ako, jestli
ako ne		jestli ne
akompanement		suprovodženje
akompanovati		eskortovati, suprovadžati
aksialny		osevy
akt		dělo, čin
aktivacija		aktivizacija
aktivist		dějatelj
aktivitet		aktivnost, dějateljnost
aktivizacija		aktivacija
aktivnost		aktivitet, dějateljnost
aktorka		aktrisa
aktrisa		aktorka
aktualnost		svojevrěmennost, včasnost
akumulovati		gromaditi
akurat		točno
akuratnost		točnost
akuratny		točny
akuzativ		viniteljnik, viniteljny padež
alarm		trevoga
ale		a, no, pa
alegorija		inoskazanje
alfabet		abeceda, azbuka
alga		vodorast
alians		sojuz
alias		klička, psevdonim
aljur		priteglivost, privlěkateljnost, šarm
alkov		niša
almaz		diamant
alt		viola
altana		altanka
altanka		altana
aluzija		podkazka
amater		ljubitelj
ambar		plěvnja, stodola
ambiciozny		čestiljubivy
amoralny		nemoralny
analfabetizm		negramotnost
analiza		razbor
analny		zadnjeprohodny
anarhija		bezvlastje
anemija		malokrovje
angličan		angličanin
angličanin		angličan
animovany film		film rysovany, film črtany
anketa		voprosnik
anonimny		bezimenny
antena		tykalo
antičny		davny
antologija		sbornik
anus		konečnik, zadnji prohod
apartament		kvartira
